set_name,source,tier,category_primary,category,method,fgsea_eligible,gsva_eligible,size_mouse,size_human,n_unmapped_to_human,n_unmapped_from_human,description,notes
MITOCARTA_AUTOPHAGY,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,both,TRUE,TRUE,18,18,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_BIOTIN_UTILIZING_PROTEINS,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,5,5,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_BRANCHED_CHAIN_AMINO_ACID_DEHYDROGENASE_COMPLEX,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,6,6,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_BRANCHED_CHAIN_AMINO_ACID_METABOLISM,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,both,TRUE,TRUE,25,25,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_CALCIUM_CYCLE,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,9,9,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_CALCIUM_HOMEOSTASIS,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,both,TRUE,TRUE,23,23,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_CALCIUM_UNIPORTER,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,6,6,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_CAMP_PKA_SIGNALING,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,6,6,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_CARBOHYDRATE_METABOLISM,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,both,TRUE,TRUE,73,73,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_CARDIOLIPIN_SYNTHESIS,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,both,TRUE,TRUE,16,15,1,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_CARNITINE_SHUTTLE,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,5,5,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_CARNITINE_SYNTHESIS_AND_TRANSPORT,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,6,5,1,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_CHAPERONES,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,both,TRUE,TRUE,17,14,3,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_CHOLESTEROL_BILE_ACID_STEROID_SYNTHESIS,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,14,10,4,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_CHOLINE_AND_BETAINE_METABOLISM,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,7,7,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_CI_ASSEMBLY_FACTORS,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,both,TRUE,TRUE,21,21,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_CI_SUBUNITS,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,both,TRUE,TRUE,36,36,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_CIII_ASSEMBLY_FACTORS,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,6,6,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_CIII_SUBUNITS,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,9,10,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_CIV_ASSEMBLY_FACTORS,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,both,TRUE,TRUE,29,29,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_CIV_SUBUNITS,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,both,TRUE,TRUE,18,16,2,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_COENZYME_A_METABOLISM,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,5,4,1,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_COENZYME_Q_METABOLISM,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,13,13,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_COMPLEX_I,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,both,TRUE,TRUE,57,57,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_COMPLEX_II,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,8,8,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_COMPLEX_III,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,both,TRUE,TRUE,15,16,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_COMPLEX_IV,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,both,TRUE,TRUE,47,45,2,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_COMPLEX_V,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,both,TRUE,TRUE,24,7,17,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_COPPER_METABOLISM,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,7,7,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_CRISTAE_FORMATION,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,11,8,3,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_CV_ASSEMBLY_FACTORS,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,5,5,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_CV_SUBUNITS,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,both,TRUE,TRUE,19,2,17,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_DETOXIFICATION,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,both,TRUE,TRUE,51,48,3,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_EF_HAND_PROTEINS,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,11,11,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_ELECTRON_CARRIERS,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,both,TRUE,TRUE,15,14,1,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_FATTY_ACID_OXIDATION,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,both,TRUE,TRUE,45,43,1,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_FE_S_CLUSTER_BIOSYNTHESIS,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,both,TRUE,TRUE,23,22,1,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_FE_S_CONTAINING_PROTEINS,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,both,TRUE,TRUE,31,30,1,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_FISSION,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,both,TRUE,TRUE,15,15,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_FOLATE_AND_1_C_METABOLISM,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,both,TRUE,TRUE,22,21,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_FUSION,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,9,9,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_GABA_METABOLISM,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,6,6,1,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_GLUCONEOGENESIS,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,9,9,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_GLUTAMATE_METABOLISM,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,7,8,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_GLYCINE_METABOLISM,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,both,TRUE,TRUE,15,15,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_GLYOXYLATE_METABOLISM,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,8,8,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_HEME_SYNTHESIS_AND_PROCESSING,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,both,TRUE,TRUE,16,15,1,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_HEME_CONTAINING_PROTEINS,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,10,9,1,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_IMMUNE_RESPONSE,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,6,4,2,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_IMPORT_MOTOR,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,6,6,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_INTRAMITOCHONDRIAL_MEMBRANE_INTERACTIONS,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,8,8,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_IRON_HOMEOSTASIS,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,5,5,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_ITACONATE_METABOLISM,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,6,6,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_KETONE_METABOLISM,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,8,8,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_LIPID_METABOLISM,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,both,TRUE,TRUE,126,115,8,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_LYSINE_METABOLISM,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,both,TRUE,TRUE,16,16,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_MALATE_ASPARTATE_SHUTTLE,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,6,6,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_METABOLISM,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,both,TRUE,TRUE,462,447,15,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_METALS_AND_COFACTORS,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,both,TRUE,TRUE,118,114,5,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_MICOS_COMPLEX,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,7,7,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_MITOCHONDRIAL_CENTRAL_DOGMA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,both,TRUE,TRUE,230,225,4,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
